AS24203,NAPXLNET-AS-ID PT Excelcomindo Pratama (Network Access Provider),0.02,0.00,691876,
AS24204,SATNETCOM-AS-ID Satnetcom Balikpapan PT.,0.00,0.00,191,
AS24205,BANKPERMATA-THIS-AS-IDNIC-ID PT. Bank Permata Tbk.,0.00,0.00,80,
AS24206,CHANNEL11-AS-ID PT Cakra Lintas Nusantara,0.27,0.27,1481,
AS24207,EXPRESSNET-AS-ID PT NettoCyber Indonesia,0.01,0.01,11022,
AS24209,INTERMEDIANET-AS-ID PT. Inter Media Lintas Nusa,0.00,0.00,167,
AS24210,ANGKASAWAVE-AS-ID Angkasa Sarana Teknik Komunikasi PT,0.00,0.00,344,
AS24211,DETIK-AS-ID PT. Detik Ini JUga,7.38,7.38,922,
AS24212,JASNET-AS-ID PT. JASNITA TELEKOMINDO,0.00,0.00,162,
AS24213,ARSEN-AS-ID PT. Arsen Kusuma Indonesia,0.00,0.00,1591,
AS24519,KUSUMA-AS-ID PT Kusuma Dinatha Jaya Abadi,0.00,0.00,76,
AS24521,DATAUTAMA-NET-AS-ID PT. DATA Utama Dinamika,0.07,0.07,2818,
AS24522,GLOBALPORTNET-AS-ID PT Global Port Binekatara,0.00,0.00,175,
AS24523,ORION-AS-ID Orion Cyber Internet,0.00,0.00,4858,
AS24524,IDNIC-KALTIMPROV-AS-ID Pemerintah Daerah Provinsi Kalimantan Timur,0.00,0.00,209,
AS24525,SAP-AS-ID PT Solusi Aksesindo Pratama,0.00,0.00,1231,
AS24526,BINUS Bina Nusantara University,0.04,0.04,2270,
AS24527,DAKARANET-AS-ID Internet Service Provider,0.00,0.00,3993,
AS24529,INFOTAMA-AS-ID PT. Infotama Lintas Global,,,26,
AS24529,INFOTAMA-AS-ID PT. Infotama Lintas Global,0.00,0.00,26,
AS24530,POWERNET-AS-ID PT. Power Telecom Indonesia,0.00,0.00,2471,
AS24532,INET-AS-ID PT. Inet Global Indo,6.21,6.21,435,
AS24534,TRANSHYBRID-AS-ID PT. Transhybrid Communication,,,3,
AS24534,TRANSHYBRID-AS-ID PT. Transhybrid Communication,0.00,0.00,3,
AS24535,ISATNET-AS-ID PT.Insan Sarana Telematika,0.00,0.00,2380,
AS24536,ELNUS-AS-ID PT. Elektrindo Data Nusantara,0.00,0.00,2850,
AS31863,DACEN-2 - Centrilogic, Inc.,,,44,
AS31863,DACEN-2 - Centrilogic, Inc.,0.00,0.00,44,
AS38001,NEWMEDIAEXPRESS-AS-AP NewMedia Express Pte Ltd. Singapore Web Hosting Service Provider,0.00,0.00,206,
AS38142,UNAIR-AS-ID Universitas Airlangga,0.00,0.00,1796,
AS38143,BLUELINE-AS-ID PT. Rabik Bangun Pertiwi, PMA,0.53,0.53,190,
AS38144,JALAWAVE-AS-ID PT Jalawave Cakrawala,0.19,0.00,1580,
AS38145,PANCA-AS-ID PT. Panca Dewata Utama,0.00,0.00,1121,
AS38146,DIGINET-AS-ID DIGITAL WIRELESS INDONESIA PT.,0.00,0.00,580,
AS38147,INOVANET-AS-ID PT. Inova Duapuluh Duapuluh,,,7,
AS38147,INOVANET-AS-ID PT. Inova Duapuluh Duapuluh,0.00,0.00,7,
AS38148,QIANDRA-AS-ID QIANDRA INFORMATION TECHNOLOGY PT,0.00,0.00,845,
AS38149,RATELINDONET-AS-ID PT. Bakrie Telecom,,,26,
AS38149,RATELINDONET-AS-ID PT. Bakrie Telecom,0.00,0.00,26,
AS38150,TELNET-AS-ID PT. TIME EXCELINDO,0.26,0.26,1166,
AS38152,NEXXG-NET PT Antar Mitra Prakarsa,,,2,
AS38152,NEXXG-NET PT Antar Mitra Prakarsa,0.00,0.00,2,
AS38153,UPH-AS-ID Universitas Pelita Harapan,0.00,0.00,1157,
AS38155,AUDIANET-AS-ID Audianet Sentra Data, PT,0.00,0.00,455,
AS38156,ROUTELINK-AS-ID Internet Service Provider,0.00,0.00,732,
AS38159,JJNET-AS-ID PT Jivan Jaya Makmur Telecom,0.00,0.00,83,
AS38162,DELTA-AS-ID PT Delta Nusantara Networks,0.00,0.00,754,
AS38165,ADSNET-AS-ID PT. AMBHARA DUTA SHANTI,0.00,0.00,472,
AS38211,MCM-AS-ID PT. Mandiri Citra Makmur,,,4,
AS38211,MCM-AS-ID PT. Mandiri Citra Makmur,0.00,0.00,4,
AS38274,MEGAXUS-AS-ID-AP PT. Megaxus Infotech,0.00,0.00,62,
AS38320,MMS-AS-ID PT Maxindo Mitra Solusi, Jl Kelapa Puan Raya Blok FU 19, Jakarta,0.05,0.05,10152,
AS38331,ITS-AS-ID-AP Institut Teknologi Sepuluh Nopember,0.00,0.00,2146,
AS38490,INDOSATM2-NAP-AS-AP INDOSAT Mega Media (Internet Network Provider) Pt,0.00,0.00,834,
AS38494,BBGISA-AS-ID-AP PT. Bakrie  Brothers, Tbk,,,15,
